Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_3M,Mom_12M,Rev_Change,Rec_BuyRatio,Streak_Days,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Streak_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
EWBC,Financials,Regional Banks,117.45,12.8043,3.27879,12.56,74.7411,15.559999999999999,57.97676,0.9556937427127866,,23.1778,0.024844720496894346,0.7391304347826086,2,47.5833604865863,81.03248499896544,91.58449674578706,71.9726606354923,65.2118737585522,71.47697532507667,69.8164440099924,2.666666666666667,42.956533072662104,62.920842649352295,47.5833604865863
IBOC,Financials,Regional Banks,69.86,10.3278,3.41763,16.04,69.21539,14.2,63.15208,0.8058326937835762,,9.3271,,0.8571428571428571,2,58.841099163679814,83.41251651307516,91.26880884945402,46.255404731850156,50.0,65.95556585161184,91.21863799283155,2.666666666666667,55.7978494623656,62.908250934837966,46.255404731850156
ACIW,Information Technology,Application Software,46.77,18.4816,2.785,27.51,7.01,18.05,19.77,0.35726399095534206,,-10.2648,0.07692307692307687,0.8461538461538461,2,89.17378917378917,46.96072061053141,60.95509428842762,46.669646016051246,89.78494623655914,66.70883926507172,87.08452041785375,2.666666666666667,53.31737891737892,62.691401160763874,46.669646016051246
NI,Utilities,Multi-Utilities,42.03,22.3945,3.2475,10.35,20.5,10.07,28.12,0.6932185145317544,,15.3086,0.05138339920948609,0.8695652173913043,2,34.155844155844164,86.60427807486631,72.2077922077922,58.54545454545454,71.16883116883118,64.53644003055767,94.8051948051948,2.666666666666667,57.94978354978355,62.56044308632543,34.155844155844164
IQV,Health Care,Life Sciences Tools & Services,242.41,32.1765,2.5957,50.96,3.85,21.4,13.69,0.9587633451957296,,18.6423,0.06896551724137934,0.8275862068965517,2,66.57608695652175,69.05264092490792,62.839673913043484,71.2590579710145,74.86413043478261,68.91831804005406,75.6340579710145,2.666666666666667,46.447101449275365,62.17695306282045,62.839673913043484
EAT,Consumer Discretionary,Restaurants,160.01,21.8537,1.6735,,79.41,132.28,9.82,0.6496219333079475,,14.6861,0.19871794871794873,0.6153846153846154,2,60.575263662511986,75.0,72.64284418646835,59.48879272369205,98.46596356663471,73.23457282786141,56.74017257909875,2.666666666666667,35.110770214125914,61.79743204374076,59.48879272369205
DAL,Industrials,Passenger Airlines,72.31,10.0539,0.7398,-6.08,4.33,27.639999999999997,9.6,0.9778789850357842,,17.7304,0.014336917562724039,0.9032258064516129,2,80.13136288998358,39.97800757475904,66.33825944170772,66.83291300351192,62.06896551724138,63.06990168544073,94.2528735632184,2.666666666666667,57.61839080459771,61.434448421187824,39.97800757475904
TMHC,Consumer Discretionary,Homebuilding,65.35,7.5051,0.7622,28.59,6.98,14.16,13.39,0.6529968454258672,,7.219,0.0,0.875,2,84.17734390888754,74.8945312703702,52.315463724859704,49.66146133931369,51.901565995525736,62.59007324779138,95.93247915395567,2.666666666666667,58.62615415904007,61.40089752116599,49.66146133931369
MPWR,Information Technology,Semiconductors,958.97,24.2415,17.2649,72.79,30.48,56.64,26.01,0.7598170981125459,,54.4335,0.040000000000000036,0.8,2,46.64918414918415,87.88791274085392,82.59808373444737,61.59033776680836,79.17888563049853,71.58088080435847,60.81002331002331,2.666666666666667,37.55268065268066,61.37242075885513,46.64918414918415
FLEX,Information Technology,Electronic Manufacturing Services,61.5,25.9613,0.8636,65.05,-43.22,16.77,4.73,0.7724474633835704,,49.7808,0.05555555555555547,0.8888888888888888,2,77.2079772079772,46.96571886114369,54.26086259419592,59.81118373275236,82.43727598566308,64.13660367634645,88.46153846153845,2.666666666666667,54.14358974358974,61.138699496519436,46.96571886114369
