Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA,EV_EBITDA_Used,EV_EBITDA_Source,EPS_Growth,EPS_Growth_Source,EPS_Growth_TTMYoY,EPS_Growth_3Y,EPS_Growth_5Y,Rev_Growth,ROE,Op_Margin,ROIC,ROIC_Source,Mom_Range,Mom_12M,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Days_Raw,Streak_Score,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Alpha_Score_PreGates,Min_Fund_Factor,Momentum_Fail,Lopsided_Fail,Neg_EPS_Fail,Missing_EPS_Fail
NI,Utilities,Multi-Utilities,43.94,23.4069,3.3944,,,Missing,10.36,TTM_YoY,10.36,5.96,10.35,20.5,10.07,28.12,,Missing,0.8982683982683978,15.5141,0.05138339920948609,0.8695652173913043,0.8124999999999999,23.0,64.5,64.5,74.19236996521622,43.93939393939394,82.51748251748252,73.42657342657341,58.74125874125874,63.636363636363626,65.18648018648017,93.006993006993,85.48114379028229,69.24541290724059,69.24541290724059,43.93939393939394,False,False,False,False
IDCC,Information Technology,Communications Equipment,308.77,16.0008,8.5602,,,Missing,58.32,TTM_YoY,58.32,89.75,78.98,28.75,49.919999999999995,61.99,,Missing,0.5727512138918606,79.8462,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,0.0,56.87242798353909,85.3167115902965,94.59501557632399,66.24784532960633,86.05919003115265,79.2355966145196,46.23456790123457,27.74074074074074,68.93662543976383,68.93662543976383,56.87242798353909,False,False,False,False
CRS,Industrials,Industrial Machinery & Supplies & Components,335.45,40.3945,5.776,,,Missing,82.17,TTM_YoY,82.17,,198.87,2.4,22.68,19.41,,Missing,0.9356402699876413,67.11,0.16666666666666663,0.9166666666666666,0.8088235294117647,12.0,4.5,4.5,9.017226537397004,32.04344075903709,61.14099679098813,81.48670900964478,77.59585979769466,99.05904493060456,70.45975271819135,92.73112208892024,59.245563868310946,68.21691494821528,68.21691494821528,32.04344075903709,False,False,False,False
DAL,Industrials,Passenger Airlines,70.44000000000001,9.1866,0.7258,,,Missing,43.65,TTM_YoY,43.65,54.97,,2.79,27.63,9.15,,Missing,0.9292127521145092,6.4219,0.014336917562724039,0.9032258064516129,0.8541666666666667,31.0,90.0,94.5,84.89281911636292,73.6297341801929,49.591550045938135,64.94354269583627,47.925194071983064,71.77134791813691,62.423191213610124,94.742413549753,90.80257577639696,68.0990681261675,68.0990681261675,47.925194071983064,False,False,False,False
PEGA,Information Technology,Application Software,52.0,31.746,5.0937,,,Missing,0.58,TTM_YoY,0.58,,,17.0,45.98,17.4,,Missing,0.5791949817041298,1.4637,0.044736842105263186,0.8947368421052632,0.8229166666666666,19.0,64.5,64.5,74.19236996521622,64.38415159345392,50.29827968923418,69.22448421035685,60.810296913851104,71.98435122799391,63.761022091803284,90.82687338501292,84.17307201709423,67.84343207686148,67.84343207686148,50.29827968923418,False,False,False,False
NDAQ,Financials,Financial Exchanges & Data,100.99000000000001,35.4825,7.0591,,,Missing,67.57,TTM_YoY,67.57,-6.38,4.53,16.44,13.96,27.61,,Missing,0.9784815265935853,28.8175,0.06956521739130428,0.8695652173913043,0.8124999999999999,23.0,34.5,34.5,51.543320820949745,31.56150965139729,77.20157749227516,52.97399229983499,88.30635656478353,86.01398601398603,65.44486619120798,91.83232497839239,75.71672331541532,67.49923761604946,67.49923761604946,31.56150965139729,False,False,False,False
RGLD,Materials,Gold,265.13,46.6082,26.0877,,,Missing,66.92,TTM_YoY,66.92,33.79,10.69,28.11,14.729999999999999,65.38,,Missing,0.9973035439137132,91.6992,0.02083333333333337,0.8333333333333334,0.7717391304347826,18.0,0.0,0.0,0.0,28.451178451178453,95.73863636363637,87.62626262626262,92.72727272727272,60.1010101010101,72.67382154882155,77.77777777777779,46.66666666666667,67.47239057239058,67.47239057239058,28.451178451178453,False,False,False,False
DY,Industrials,Construction & Engineering,370.62,36.0639,2.0746,,,Missing,33.67,TTM_YoY,33.67,71.2,34.5,13.19,22.21,8.31,,Missing,0.962699179140512,95.1298,0.0032679738562091387,0.9444444444444444,0.8586956521739131,18.0,90.0,94.5,84.89281911636292,47.15214067278288,66.2111065431885,56.69438073394495,80.9288990825688,59.403669724770644,60.866313434019965,99.42660550458716,93.61309094929746,67.41566893707547,67.41566893707547,47.15214067278288,False,False,False,False
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,70.45,23.2527,6.3572,,,Missing,25.45,TTM_YoY,25.45,3.01,3.54,2.8,47.010000000000005,31.42,,Missing,0.6990811638591122,13.1566,0.0,0.8857142857142857,0.8437499999999999,35.0,90.0,94.5,84.89281911636292,38.98071625344353,58.4710743801653,95.86776859504133,59.090909090909086,48.34710743801652,61.99035812672176,91.73553719008264,88.99844996059474,67.39197649349636,67.39197649349636,38.98071625344353,False,False,False,False
TMDX,Health Care,Health Care Equipment,143.38,53.3909,8.6511,,,Missing,144.86,TTM_YoY,144.86,,,41.2,31.41,16.94,,Missing,0.875049504950495,147.1044,0.07777777777777783,0.8,0.7500000000000001,20.0,0.0,0.0,0.0,37.305487305487304,92.77854930028843,77.45700245700246,95.84766584766587,82.43243243243244,76.24469429904212,53.13267813267814,31.879606879606882,67.37167681515508,67.37167681515508,37.305487305487304,False,False,False,False
CPRX,Health Care,Biotechnology,22.71,12.8206,4.8255,,,Missing,45.99,TTM_YoY,45.99,52.98,34.24,25.56,26.39,44.78,,Missing,0.48605577689243046,0.1765,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,94.5,84.89281911636292,69.1919191919192,66.13401091661962,86.25541125541125,34.97835497835498,43.01948051948052,62.47968818620993,87.82467532467533,86.65193284135036,67.31413711723802,67.31413711723802,34.97835497835498,False,False,False,False
APP,Information Technology,Application Software,568.77,67.9038,34.8178,,,Missing,148.76,TTM_YoY,148.76,252.84,68.68,40.81,262.94,59.92,,Missing,0.6755884133477646,71.3081,0.018181818181818188,0.8181818181818182,0.7828947368421053,33.0,0.0,0.0,0.0,28.466838931955213,93.75596882017396,99.78466838931956,84.59298262720816,54.705498804607686,73.0207758027585,73.557278208441,44.134366925064604,67.24349402721971,67.24349402721971,28.466838931955213,False,False,False,False
VICR,Industrials,Electrical Components & Equipment,149.89,81.3494,16.8746,,,Missing,1787.15,TTM_YoY,1787.15,-52.39,-16.69,11.55,13.77,19.0,,Missing,0.9568010347057554,209.7974,0.2333333333333334,0.9,0.7833333333333333,10.0,0.0,0.0,0.0,20.7687440683328,87.06105662764948,64.34672571970896,86.3714014552357,100.0,70.60835178740905,86.08035431825371,51.64821259095223,66.81632394811768,66.81632394811768,20.7687440683328,False,False,False,False
V,Financials,Transaction & Payment Processing Services,328.31,31.2986,16.1414,,,Missing,9.45,TTM_YoY,9.45,13.37,15.85,11.38,52.470000000000006,62.21,,Missing,0.38308717814664756,3.4831,0.07234042553191489,0.8723404255319149,0.841346153846154,47.0,64.5,64.5,74.19236996521622,23.475120385232742,45.23557837511326,94.00718663359113,38.66117029038377,87.82467532467533,60.608047018959624,98.3948635634029,88.71386612412823,66.22921083999336,66.22921083999336,23.475120385232742,False,False,False,False
CBRE,Real Estate,Real Estate Services,171.6,41.583,1.2985,,,Missing,30.28,TTM_YoY,30.28,-16.53,-3.52,14.61,14.67,4.38,,Missing,0.9775541795665632,27.3395,0.06315789473684219,0.8,0.7500000000000001,20.0,0.0,0.0,0.0,38.8888888888889,75.0,60.0,66.66666666666666,100.0,67.77777777777777,100.0,60.0,66.22222222222223,66.22222222222223,38.8888888888889,False,False,False,False
PEN,Health Care,Health Care Equipment,350.78999999999996,83.7503,10.2994,,,Missing,381.7,TTM_YoY,381.7,36.66,-23.21,14.61,13.08,12.95,,Missing,0.9896095958438382,33.7273,0.125,0.9166666666666666,0.853448275862069,24.0,4.5,4.5,9.017226537397004,30.753480753480744,82.05468314163966,52.88697788697789,87.02702702702703,95.45454545454545,67.9283403957317,92.13759213759214,58.88944589751408,66.12056149608817,66.12056149608817,30.753480753480744,False,False,False,False
MPWR,Information Technology,Semiconductors,1033.18,26.1172,18.6008,,,Missing,341.32,TTM_YoY,341.32,93.47,72.79,30.48,56.64,26.01,,Missing,0.8682288318821948,73.1589,0.040000000000000036,0.8,0.7583333333333334,25.0,0.0,0.0,0.0,47.30927508705287,87.40987092818392,82.3614772212903,74.09127560070955,76.32398753894081,73.91268735626453,55.55555555555556,33.333333333333336,65.79681655167829,65.79681655167829,47.30927508705287,False,False,False,False
STRL,Industrials,Construction & Engineering,350.96999999999997,34.1429,4.8276,,,Missing,72.95,TTM_YoY,72.95,56.63,41.21,6.2,35.620000000000005,19.68,,Missing,0.788816604708798,96.6383,0.09999999999999998,0.9,0.7833333333333333,10.0,0.0,0.0,0.0,37.14640672782874,58.04726718019734,89.70756880733944,69.09977064220183,93.4059633027523,70.5117852403208,76.44782110091744,45.86869266055046,65.58316672436673,65.58316672436673,37.14640672782874,False,False,False,False
CFG,Financials,Regional Banks,60.83,15.3294,1.48499,,,Missing,36.95,TTM_YoY,36.95,-15.04,-3.47,62.72879,6.800000000000001,31.44855,,Missing,0.9550067658998648,29.9573,0.038461538461538436,0.8461538461538461,0.7983870967741936,26.0,64.5,64.5,74.19236996521622,60.09707253687992,80.43350268225683,25.81116716349461,85.85317170790687,69.41287878787878,61.319458348462796,84.75120385232745,80.52767029748296,65.16110073826684,65.16110073826684,25.81116716349461,False,False,False,False
HOOD,Financials,Investment Banking & Brokerage,108.75,44.566,23.2583,,,Missing,311.72,TTM_YoY,311.72,,,74.58,26.950000000000003,47.57,,Missing,0.6367960038615168,135.9809,0.0741935483870968,0.7741935483870968,0.7430555555555556,31.0,0.0,0.0,0.0,20.996254681647937,94.54545454545455,89.60674157303373,72.38651685393259,83.27272727272728,73.02255022131428,54.741573033707866,32.84494382022472,64.98702894109637,64.98702894109637,20.996254681647937,False,False,False,False
MCK,Health Care,Health Care Distributors,840.47,25.7216,0.268,,,Missing,66.52,TTM_YoY,66.52,52.67,39.07,17.23,39.43,1.36,,Missing,0.8304672839696066,41.2087,0.045454545454545414,0.8636363636363636,0.8055555555555556,22.0,4.5,4.5,9.017226537397004,66.99604743083005,76.96124763705104,57.312252964426875,74.11067193675889,71.73913043478261,68.5839491321533,77.27272727272727,49.97052697859516,64.86126470144167,64.86126470144167,57.312252964426875,False,False,False,False
HALO,Health Care,Biotechnology,71.22,14.0625,6.7378,,,Missing,57.4,TTM_YoY,57.4,7.75,,31.19,141.55,59.33,,Missing,0.74125,28.6075,0.04583333333333328,0.7333333333333333,0.6875,15.0,0.0,0.0,0.0,58.08080808080808,75.42819499341238,100.0,63.50649350649351,84.95670995670996,78.21911663216012,18.181818181818183,10.90909090909091,64.75711148754628,64.75711148754628,58.08080808080808,False,False,False,False
ADMA,Health Care,Biotechnology,17.32,19.6696,8.4324,,,Missing,206.77,TTM_YoY,206.77,,,27.62,53.98,33.25,,Missing,0.31388660640920296,4.089,0.0888888888888888,0.8888888888888888,0.7678571428571428,9.0,0.0,0.0,0.0,49.891774891774894,82.95125164690381,84.95670995670994,33.41991341991342,96.75324675324674,72.17141916054959,56.16883116883117,33.7012987012987,64.47739506869942,64.47739506869942,33.41991341991342,False,False,False,False
WAL,Financials,Regional Banks,88.38000000000001,10.8084,2.03505,,,Missing,24.59,TTM_YoY,24.59,-6.1,8.28,69.87056,12.790000000000001,41.20746,,Missing,0.8388219544846053,1.5164,0.0,0.9,0.8300000000000001,20.0,90.0,94.5,84.89281911636292,72.45662309867767,74.58671761516446,68.48346527068438,34.48945717204144,27.935606060606062,57.29007424836695,98.62416876863105,93.1316289077238,64.45838518023832,64.45838518023832,27.935606060606062,False,False,False,False
MSFT,Information Technology,Systems Software,459.87,32.5783,11.6328,,,Missing,16.02,TTM_YoY,16.02,12.24,18.8,15.59,31.53,45.94,,Missing,0.546283110225007,8.3094,-0.0031982942430703876,0.9253731343283582,0.8993055555555556,67.0,90.0,94.5,84.89281911636292,45.723104056437386,57.54747472283543,91.66790288285615,55.70330438254966,25.400534045393858,57.00669394302982,99.33862433862434,93.56030224971977,64.31741560436782,64.31741560436782,25.400534045393858,False,False,False,False
UBER,Industrials,Passenger Ground Transportation,84.86,10.5958,3.554,,,Missing,282.23,TTM_YoY,282.23,,,18.25,70.61,8.72,,Missing,0.5858317214700194,23.7241,0.013387978142076484,0.8166666666666667,0.7961538461538461,60.0,0.0,0.0,0.0,58.02388233580894,93.409827147061,68.9820882481433,46.17737003058104,64.17649628658803,67.29416872051458,86.89384010484929,52.13630406290957,64.26259578899358,64.26259578899358,46.17737003058104,False,False,False,False
KALU,Materials,Aluminum,128.25,22.7384,0.6476,,,Missing,90.32,TTM_YoY,90.32,,-5.6,7.69,12.16,4.93,,Missing,0.949962092494314,72.4351,0.75,0.75,0.6730769230769231,8.0,0.0,0.0,0.0,66.10305958132045,82.06521739130434,55.79710144927536,86.76328502415458,100.0,76.597423510467,24.396135265700483,14.63768115942029,64.20547504025765,64.20547504025765,55.79710144927536,False,False,False,False
NJR,Utilities,Gas Utilities,48.12,14.4413,3.7241,,,Missing,14.03,TTM_YoY,14.03,5.34,14.21,27.79,13.98,39.1,,Missing,0.6379192334017791,1.4765,0.09090909090909094,0.8181818181818182,0.734375,11.0,0.0,0.0,0.0,50.848484848484844,83.0909090909091,85.0909090909091,25.090909090909093,85.0909090909091,68.84242424242424,74.54545454545453,44.72727272727272,64.01939393939394,64.01939393939394,25.090909090909093,False,False,False,False
HWM,Industrials,Aerospace & Defense,224.89999999999998,62.3585,11.3379,,,Missing,36.29,TTM_YoY,36.29,68.1,22.65,9.7,29.7,25.1,,Missing,0.9838299136747216,82.8671,0.041871921182266014,0.8275862068965517,0.7867647058823529,29.0,0.0,0.0,0.0,28.647238711998558,65.41557784773784,88.99082568807339,84.59255261737722,75.5261737722612,68.85438738102445,74.3793847814355,44.6276308688613,64.00903607859182,64.00903607859182,28.647238711998558,False,False,False,False
GE,Industrials,Aerospace & Defense,325.13,42.538,7.8033,,,Missing,32.21,TTM_YoY,32.21,,,17.68,42.13,17.0,,Missing,0.9558323242806894,80.8835,0.019893899204244003,0.8275862068965517,0.7867647058823529,29.0,0.0,0.0,0.0,36.427415002698325,78.05643005624677,86.02266594711278,70.0,69.34700485698868,68.77183646996495,74.3793847814355,44.6276308688613,63.94299534974423,63.94299534974423,36.427415002698325,False,False,False,False
WBS,Financials,Regional Banks,64.54,11.255,2.72593,,,Missing,21.16,TTM_YoY,21.16,-0.12,1.64,93.49402,9.959999999999999,43.21621,,Missing,0.9262264846919956,11.3738,0.0,0.8636363636363636,0.8055555555555556,22.0,90.0,94.5,84.89281911636292,58.88939845601163,82.9875343372021,62.56349322159916,57.76710147797628,27.935606060606062,58.268446297860194,87.47993579454254,86.44508912327069,63.9037748629423,63.9037748629423,27.935606060606062,False,False,False,False
CR,Industrials,Industrial Machinery & Supplies & Components,207.42999999999998,32.6503,5.2673,,,Missing,38.15,TTM_YoY,38.15,-11.75,18.11,-0.37,20.19,17.06,,Missing,0.9858964925190087,33.432,0.006535947712418277,0.8888888888888888,0.8152173913043478,18.0,90.0,94.5,84.89281911636292,39.61028777542539,43.492319232322686,70.50105857445305,69.05669254293107,62.03246294989413,57.010782516581365,95.76570218772054,91.41654895917749,63.891935805100594,63.891935805100594,39.61028777542539,False,False,False,False
OPCH,Health Care,Health Care Facilities,36.04,27.3537,1.0341,,,Missing,5.27,TTM_YoY,5.27,16.65,,15.79,15.28,6.03,,Missing,0.9768307819611087,22.8854,0.01388888888888884,0.8888888888888888,0.8152173913043478,18.0,64.5,64.5,74.19236996521622,61.39169472502806,55.444542038744935,45.833333333333336,79.39393939393939,65.993265993266,59.93332479383204,81.56565656565657,78.61634192548043,63.66992822016172,63.66992822016172,45.833333333333336,False,False,False,False
FIX,Industrials,Construction & Engineering,1119.99,47.1619,4.7461,,,Missing,80.63,TTM_YoY,80.63,54.85,36.51,27.71,43.59,13.39,,Missing,0.9689406034987768,121.7124,0.019230769230769273,0.7692307692307693,0.7083333333333334,13.0,0.0,0.0,0.0,29.730504587155963,91.03557209624373,86.10951834862385,87.99311926605505,69.98279816513761,72.87612244677169,43.11926605504587,25.87155963302752,63.47520988402286,63.47520988402286,29.730504587155963,False,False,False,False
WMT,Consumer Staples,Consumer Staples Merchandise Retail,119.71000000000001,41.6877,1.3584,,,Missing,17.2,TTM_YoY,17.2,13.97,6.82,4.34,25.380000000000003,4.12,,Missing,0.963186481593241,31.1062,0.0,0.9583333333333334,0.919811320754717,48.0,90.0,94.5,84.89281911636292,35.42568542568542,61.03896103896104,58.874458874458874,84.41558441558442,45.887445887445885,55.85137085137085,100.0,93.95712764654516,63.472522210405714,63.472522210405714,35.42568542568542,False,False,False,False
BG,Consumer Staples,Agricultural Products & Services,107.82000000000001,15.7568,0.3468,,,Missing,17.66,TTM_YoY,17.66,-16.27,,10.29,10.99,2.8,,Missing,0.9753861003861005,35.7809,0.15000000000000002,0.85,0.79,20.0,0.0,0.0,0.0,68.57707509881423,69.96047430830039,34.1897233201581,89.72332015810277,100.0,69.71343873517787,63.636363636363626,38.18181818181817,63.40711462450594,63.40711462450594,34.1897233201581,False,False,False,False
APH,Information Technology,Electronic Components,154.39999999999998,49.4588,9.0105,,,Missing,72.14,TTM_YoY,72.14,14.69,15.39,47.37,34.63,24.31,,Missing,0.981167985575478,120.9991,0.024347826086956514,0.72,0.6916666666666667,25.0,0.0,0.0,0.0,41.50047483380818,89.85264236318619,83.91112176158904,95.81250335967314,74.11933860531991,76.4441471048111,16.31054131054131,9.786324786324785,63.11258264111383,63.11258264111383,41.50047483380818,False,False,False,False
TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",72.42,11.3328,1.1741,,,Missing,3.29,TTM_YoY,3.29,18.11,1.16,3.6,121.75,19.71,,Missing,0.9014047866805412,39.2768,0.012499999999999956,0.8125,0.75,16.0,0.0,0.0,0.0,67.06132361870067,39.663310077785795,84.09228901032179,83.59441408621734,73.22404371584699,69.55196984797973,59.137826350941104,35.482695810564664,62.73811504049672,62.73811504049672,39.663310077785795,False,False,False,False
RRR,Consumer Discretionary,Casinos & Gaming,63.04,35.117,3.3437,,,Missing,0.99,TTM_YoY,0.99,-10.55,,4.69,85.86,30.3,,Missing,0.9442567567567568,34.8524,0.08359133126934981,0.7894736842105263,0.7395833333333334,19.0,0.0,0.0,0.0,29.417122040072858,46.361093927209,95.90163934426229,78.98907103825138,97.26775956284153,70.43296559782796,52.732240437158474,31.639344262295083,62.67424133072139,62.67424133072139,29.417122040072858,False,False,False,False
MLI,Industrials,Industrial Machinery & Supplies & Components,132.84,19.6841,3.5621,,,Missing,30.06,TTM_YoY,30.06,8.77,42.72,15.71,26.229999999999997,23.03,,Missing,0.9911398107823997,62.2847,0.0,0.8333333333333334,0.7045454545454546,6.0,0.0,0.0,0.0,59.50364620089391,76.47323826136358,92.13126323218066,89.58362738179252,40.143495648082805,71.6944359373821,38.62620559868266,23.175723359209595,61.9906934217476,61.9906934217476,40.143495648082805,False,False,False,False
GILD,Health Care,Biotechnology,124.92,19.1089,5.3279,,,Missing,7633.29,TTM_YoY,7633.29,-57.39,-38.15,2.78,40.739999999999995,36.06,,Missing,0.9002111932418166,36.2902,0.006006006006005982,0.7837837837837838,0.7559523809523809,37.0,0.0,0.0,0.0,61.00288600288601,58.17099567099567,86.14718614718615,82.2943722943723,62.77056277056276,70.26984126984127,47.61904761904761,28.571428571428566,61.93015873015873,61.93015873015873,58.17099567099567,False,False,False,False
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",363.06,25.7703,2.908,,,Missing,28.88,TTM_YoY,28.88,12.85,18.45,12.32,33.42,14.05,,Missing,0.9167117360735533,52.7217,-0.031339031339031376,0.8148148148148148,0.7734375,27.0,64.5,64.5,74.19236996521622,42.37348538845331,82.42310950927259,67.89023521026371,81.01211689237348,21.454027084818243,58.374500732930784,77.19173200285103,75.9919871877971,61.89799802390405,61.89799802390405,21.454027084818243,False,False,False,False
LLY,Health Care,Pharmaceuticals,1038.41,53.3175,16.5212,,,Missing,120.88,TTM_YoY,120.88,24.14,5.67,45.41,102.25999999999999,38.84,,Missing,0.8127290903032324,37.0644,0.013899613899613916,0.7567567567567568,0.7321428571428572,37.0,0.0,0.0,0.0,27.509469696969692,85.99781785243742,93.67897727272728,75.9375,62.64204545454546,70.04023591897234,47.72727272727273,28.636363636363637,61.7594614624506,61.7594614624506,27.509469696969692,False,False,False,False
TMO,Health Care,Life Sciences Tools & Services,618.73,35.4033,5.315,,,Missing,8.52,TTM_YoY,8.52,-5.27,12.52,3.22,13.100000000000001,17.16,,Missing,0.9544208502107115,10.1494,0.08088235294117652,0.875,0.8310810810810811,32.0,4.5,4.5,9.017226537397004,49.69696969696969,44.41501976284585,58.81818181818182,75.6,88.27272727272728,62.52148880105401,91.81818181818183,58.697799705867894,61.7567509820168,61.7567509820168,44.41501976284585,False,False,False,False
ADEA,Information Technology,IT Consulting & Other Services,19.425,28.9696,5.5964,,,Missing,74.62,TTM_YoY,74.62,,,10.53,18.32,32.57,,Missing,0.9844011142061281,52.1552,0.0,0.9,0.7833333333333333,10.0,0.0,0.0,0.0,53.39506172839506,64.80018176261481,80.82597784700587,85.86652690426276,42.34813084112149,65.19514836381715,79.55246913580247,47.73148148148148,61.702414987350025,61.702414987350025,42.34813084112149,False,False,False,False
ENVA,Financials,Consumer Finance,156.88,13.2191,2.2273,,,Missing,74.38,TTM_YoY,74.38,2.99,47.49,20.81,23.919999999999998,40.59,,Missing,0.8678211777357094,47.4619,0.0,0.8571428571428571,0.7763157894736842,14.0,0.0,0.0,0.0,52.67720904425025,75.93616547104918,82.22108727726706,73.23761964211403,32.996632996633,63.862916268020356,84.60258010819808,50.76154806491885,61.24264262740006,61.24264262740006,32.996632996633,False,False,False,False
EHC,Health Care,Health Care Facilities,100.51,18.6911,1.7448,,,Missing,27.88,TTM_YoY,27.88,2.72,4.32,11.13,24.37,17.29,,Missing,0.22504230118443333,6.4506,-0.003676470588235281,0.9375,0.8452380952380951,16.0,90.0,94.5,84.89281911636292,60.71829405162739,56.41438539989264,77.31481481481481,38.65319865319865,25.925925925925924,53.73840457717269,95.37037037037037,91.17934986876739,61.226593635491625,61.226593635491625,25.925925925925924,False,False,False,False
